order_id,customer_id,order_date,amount,channel,region
ORD0001298,CUST000268,2024-11-10,86.09,Mobile App,East
ORD0003670,CUST000778,2026-05-31,91.23,Marketplace,West
ORD0000853,CUST000178,2026-05-27,961.92,Mobile App,North
ORD0012996,CUST002825,2025-08-23,529.62,Store,West
ORD0006067,CUST001298,2024-08-30,43.68,Mobile App,South
ORD0011154,CUST002396,2025-06-13,727.23,Store,South
ORD0012471,CUST002719,2025-08-22,171.93,Mobile App,South
ORD0003580,CUST000763,2025-01-18,162.19,Marketplace,West
ORD0011312,CUST002439,2026-05-19,40.98,Marketplace,North
ORD0011276,CUST002425,2025-09-16,31.31,Store,North
ORD0017504,CUST003801,2025-01-14,164.73,Store,South
ORD0001625,CUST000341,2024-12-27,26.03,Marketplace,Central
ORD0006504,CUST001393,2025-06-22,52.74,Store,East
ORD0011759,CUST002547,2026-06-27,1166.05,Web,Central
ORD0009423,CUST002045,2025-10-12,391.45,Mobile App,East
ORD0007039,CUST001502,2025-01-25,857.75,Web,North
ORD0004221,CUST000897,2026-06-04,38.0,Web,South
ORD0016031,CUST003454,2025-09-10,81.04,Marketplace,West
ORD0003257,CUST000700,2025-12-11,23.46,Marketplace,Central
ORD0012322,CUST002683,2025-08-03,44.72,Store,West
ORD0004102,CUST000872,2025-12-02,229.48,Web,East
ORD0007822,CUST001678,2026-07-23,49.92,Marketplace,North
ORD0016735,CUST003630,2026-06-23,78.41,Marketplace,East
ORD0015077,CUST003257,2026-01-24,99.42,Mobile App,North
ORD0004075,CUST000866,2025-06-03,35.99,Web,Central
ORD0007306,CUST001561,2026-01-04,238.7,Store,East
ORD0000937,CUST000199,2026-07-03,69.71,Marketplace,East
ORD0010483,CUST002260,2025-11-22,16.76,Store,Central
ORD0016704,CUST003619,2025-05-19,237.7,Mobile App,South
ORD0008063,CUST001738,2026-06-15,127.03,Store,East
ORD0017853,CUST003879,2026-01-20,-109.42,Store,Central
ORD0006502,CUST001393,2025-09-26,109.55,Mobile App,East
ORD0003430,CUST000734,2026-05-30,88.26,Web,East
ORD0010197,CUST002201,2026-05-20,103.7,Marketplace,South
ORD0016082,CUST003463,2025-09-27,95.06,Store,East
ORD0015693,CUST003380,2026-04-05,596.21,Store,Central
ORD0006422,CUST001381,2025-08-17,25.51,Web,North
ORD0015054,CUST003253,2026-03-15,77.92,Marketplace,South
ORD0002849,CUST000608,2025-04-02,98.3,Store,South
ORD0012506,CUST002728,2025-09-10,37.42,Marketplace,Central
ORD0006456,CUST001385,2025-10-31,543.72,Store,East
ORD0011805,CUST002557,2026-01-27,75.08,Marketplace,West
ORD0005187,CUST001117,2026-02-15,187.7,Marketplace,South
ORD0015785,CUST003401,2025-04-27,84.13,Marketplace,South
ORD0001183,CUST000248,2025-04-18,46.08,Web,South
ORD0000879,CUST000188,2026-01-28,58.52,Marketplace,North
ORD0007088,CUST001516,2026-03-11,89.38,Marketplace,Central
ORD0013029,CUST002837,2025-02-25,39.54,Web,East
ORD0017111,CUST003704,2025-06-24,69.07,Store,Central
ORD0003560,CUST000762,2026-06-16,48.1,Web,East
ORD0018323,CUST003981,2026-07-23,47.78,Mobile App,West
ORD0000058,CUST000010,2025-04-04,30.68,Web,East
ORD0015458,CUST003321,2025-08-29,117.92,Store,West
ORD0013640,CUST002958,2025-01-24,113.09,Store,East
ORD0017727,CUST003860,2026-05-12,76.78,Mobile App,North
ORD0014583,CUST003167,2026-07-23,152.97,Store,Central
ORD0002705,CUST000574,2025-10-25,25.98,Store,Central
ORD0008582,CUST001858,2025-12-13,23.8,Store,West
ORD0008289,CUST001784,2024-10-06,80.23,Mobile App,South
ORD0015831,CUST003414,2026-01-30,233.89,Store,Central
ORD0006370,CUST001369,2025-11-08,43.0,Web,West
ORD0004707,CUST000999,2025-10-17,1887.32,Store,North
ORD0008011,CUST001726,2026-03-20,116.64,Web,South
ORD0017607,CUST003821,2025-01-31,50.89,Web,West
ORD0018330,CUST003981,2025-04-29,186.37,Mobile App,West
ORD0005019,CUST001082,2025-02-15,-79.7,Mobile App,North
ORD0018389,CUST003991,2026-01-28,487.27,Marketplace,North
ORD0014013,CUST003050,2026-07-18,42.67,Store,South
ORD0006248,CUST001341,2024-09-20,54.18,Store,West
ORD0011757,CUST002546,2025-12-25,115.69,Marketplace,Central
ORD0006947,CUST001481,2026-03-27,69.76,Store,East
ORD0015704,CUST003385,2026-01-07,40.09,Mobile App,South
ORD0004555,CUST000967,2026-03-14,730.34,Store,West
ORD0011734,CUST002539,2025-08-17,118.03,Marketplace,North
ORD0015947,CUST003436,2024-11-03,15.04,Mobile App,Central
ORD0002590,CUST000548,2025-07-31,54.56,Web,Central
ORD0015976,CUST003442,2025-04-20,89.74,Web,West
ORD0007726,CUST001655,2025-02-28,37.86,Marketplace,Central
ORD0017682,CUST003845,2025-12-06,1148.85,Store,North
ORD0003526,CUST000754,2026-01-02,45.44,Marketplace,West
ORD0001558,CUST000323,2025-07-31,15.83,Mobile App,West
ORD0002389,CUST000511,2025-11-03,111.42,Store,West
ORD0004000,CUST000848,2025-09-03,38.17,Mobile App,South
ORD0006724,CUST001436,2026-01-10,694.0,Marketplace,East
ORD0002185,CUST000456,2025-11-20,102.53,Marketplace,North
ORD0005953,,2025-05-27,62.39,Web,South
ORD0009358,CUST002028,2025-06-30,39.47,Mobile App,West
ORD0005158,CUST001112,2026-07-23,47.61,Mobile App,West
ORD0014947,CUST003232,2025-08-08,93.47,Marketplace,South
ORD0004206,CUST000893,2026-01-29,46.09,Marketplace,West
ORD0006984,CUST001487,2024-08-31,375.34,Store,South
ORD0002617,CUST000553,2025-12-28,133.35,Mobile App,East
ORD0001291,CUST000268,2025-12-10,44.45,Mobile App,East
ORD0011230,CUST002417,2025-08-03,105.58,Store,North
ORD0007022,CUST001498,2025-09-26,38.0,Store,Central
ORD0002504,CUST000535,2025-08-12,,Store,East
ORD0013460,CUST002922,2025-03-01,84.42,Marketplace,West
ORD0012688,CUST002767,2026-01-02,34.26,Marketplace,Central
ORD0005707,CUST001227,2026-03-09,68.85,Marketplace,West
ORD0006409,CUST001376,2025-07-06,51.88,Mobile App,East
ORD0003126,CUST000668,2025-03-15,2020.1,Mobile App,East
ORD0006650,CUST001423,2025-12-18,33.0,Marketplace,East
ORD0016938,CUST003668,2025-04-02,91.04,Mobile App,West
ORD0002362,CUST000506,2024-12-06,60.8,Store,North
ORD0011900,CUST002578,2025-03-29,12.66,Mobile App,South
ORD0013665,CUST002963,2025-08-18,71.66,Marketplace,North
ORD0007459,CUST001598,2026-04-26,113.47,Store,Central
ORD0011210,CUST002413,2026-05-09,14.48,Marketplace,Central
ORD0010251,CUST002210,2025-11-14,215.96,Mobile App,Central
ORD0014533,CUST003158,2026-08-08,114.36,Marketplace,Central
ORD0000104,CUST000023,2026-02-22,871.9,Mobile App,Central
ORD0005752,CUST001236,2026-01-21,87.87,Mobile App,East
ORD0017130,CUST003706,2025-01-26,13.01,Web,North
ORD0017368,CUST003768,2025-10-27,33.73,Store,Central
ORD0002147,CUST000451,2024-11-12,303.04,Web,East
ORD0008915,CUST001936,2026-05-04,47.34,Store,South
ORD0006229,,2024-10-30,42.32,Web,South
ORD0014306,CUST003118,2026-01-04,31.51,Mobile App,West
ORD0008123,CUST001755,2026-02-03,26.69,Marketplace,East
ORD0007835,CUST001684,2026-03-21,38.25,Store,East
ORD0000425,CUST000089,2025-03-01,44.82,Store,West
ORD0015883,CUST003424,2025-04-21,68.3,Marketplace,East
ORD0008970,CUST001947,2026-04-08,37.61,Marketplace,West
ORD0000829,CUST000175,2025-11-05,71.16,Mobile App,North
ORD0015898,CUST003427,2025-11-28,60.93,Marketplace,Central
ORD0008992,CUST001951,2026-02-06,1054.41,Mobile App,East
ORD0015962,CUST003439,2025-01-28,118.9,Web,Central
ORD0002141,CUST000451,2026-01-27,105.98,Web,East
ORD0005624,CUST001206,2025-11-01,118.47,Mobile App,Central
ORD0010030,CUST002160,2026-03-31,98.26,Marketplace,West
ORD0016480,CUST003572,2025-11-30,152.48,Marketplace,West
ORD0008908,CUST001932,2025-12-19,5.74,Store,North
ORD0005217,CUST001124,2026-07-24,135.48,Marketplace,South
ORD0000345,CUST000075,2026-04-15,98.35,Web,Central
ORD0003264,CUST000702,2025-06-18,44.4,Marketplace,North
ORD0015067,CUST003255,2025-04-11,173.2,Store,West
ORD0002359,CUST000503,2024-12-23,32.14,Web,South
ORD0002584,CUST000548,2026-07-07,17.89,Marketplace,Central
ORD0016273,CUST003518,2025-01-27,61.77,Marketplace,South
ORD0002976,CUST000634,2025-10-30,32.93,Web,Central
ORD0009828,CUST002121,2025-09-17,119.48,Store,East
ORD0011960,CUST002586,2025-12-07,41.92,Marketplace,Central
ORD0009129,CUST001982,2025-05-07,25.01,Web,North
ORD0010620,CUST002296,2026-08-18,64.69,Mobile App,East
ORD0014945,CUST003232,2025-12-27,129.03,Marketplace,South
ORD0010352,CUST002229,2025-07-10,200.0,Mobile App,North
ORD0005381,CUST001157,2025-03-05,245.06,Mobile App,Central
ORD0006357,CUST001368,2026-01-26,89.73,Marketplace,West
ORD0000652,CUST000135,2025-07-12,113.4,Store,West
ORD0016629,CUST003604,2026-01-22,44.39,Store,West
ORD0002781,CUST000592,2025-06-04,30.57,Store,East
ORD0011096,CUST002387,2025-11-02,374.03,Web,North
ORD0014308,CUST003119,2025-11-01,38.77,Web,South
ORD0016034,CUST003454,2025-04-27,245.83,Store,West
ORD0008271,CUST001782,2024-11-30,179.36,Mobile App,South
ORD0002406,CUST000513,2024-09-12,195.48,Mobile App,Central
ORD0013263,CUST002887,2025-04-07,-61.31,Web,North
ORD0011882,CUST002571,2026-01-24,26.01,Store,West
ORD0015123,CUST003263,2026-05-24,167.0,Store,West
ORD0008486,CUST001837,2025-10-15,218.21,Store,East
ORD0005763,CUST001238,2026-06-28,48.36,Store,East
ORD0011025,CUST002376,2025-04-07,45.18,Mobile App,East
ORD0016873,CUST003656,2025-07-11,65.64,Mobile App,South
ORD0002280,CUST000475,2025-09-08,20.29,Web,Central
ORD0000327,CUST000070,,11.8,Store,North
ORD0015912,CUST003430,2025-02-12,51.12,Web,North
ORD0016876,CUST003656,2025-03-01,54.71,Store,South
ORD0008831,CUST001913,2025-08-17,17.89,Mobile App,East
ORD0011180,CUST002402,2025-08-06,17.05,Web,South
ORD0014951,CUST003232,2025-02-26,27.56,Marketplace,South
ORD0001839,CUST000389,2025-04-04,143.28,Web,Central
ORD0013350,CUST002903,2026-04-02,74.95,Web,North
ORD0004851,CUST001038,2026-01-28,41.73,Web,West
ORD0018440,CUST003998,2026-06-22,55.51,Marketplace,Central
ORD0001420,CUST000290,2026-08-14,48.67,Web,East
ORD0000978,CUST000205,2026-08-16,191.52,Web,East
ORD0014803,CUST003205,2025-01-13,15.22,Store,South
ORD0006391,CUST001372,2025-04-26,93.97,Marketplace,South
ORD0011049,CUST002383,2026-03-14,76.41,Mobile App,South
ORD0014884,CUST003218,2025-11-16,379.79,Mobile App,East
ORD0011959,CUST002586,2026-01-18,46.13,Store,Central
ORD0002481,CUST000528,2026-03-15,1241.65,Mobile App,Central
ORD0008493,CUST001837,2024-11-26,127.13,Mobile App,East
ORD0005422,CUST001164,2026-03-19,84.18,Marketplace,West
ORD0011360,CUST002447,2025-01-05,352.59,Web,East
ORD0002982,CUST000635,2026-03-10,107.5,Store,Central
ORD0015844,CUST003415,2026-05-16,43.16,Web,East
ORD0015277,CUST003289,2026-03-02,67.1,Web,South
ORD0001324,CUST000271,2026-08-11,28.01,Store,South
ORD0000320,CUST000069,2025-07-22,124.1,Mobile App,Central
ORD0006661,CUST001425,2025-10-20,14.99,Mobile App,South
ORD0013532,CUST002940,2025-06-29,99.23,Web,North
ORD0002393,CUST000511,2024-10-09,26.46,Mobile App,West
ORD0016092,CUST003464,2026-05-07,29.45,Mobile App,Central
ORD0006735,CUST001437,2026-04-04,45.69,Web,North
ORD0015307,CUST003296,2026-04-03,579.47,Web,North
ORD0003747,CUST000795,2025-10-27,97.29,Store,East
ORD0017389,CUST003775,2025-01-11,28.18,Store,East
ORD0003234,CUST000689,2024-10-20,,Mobile App,East
ORD0015743,CUST003394,2026-04-28,53.33,Marketplace,North
ORD0008815,CUST001911,2025-04-03,157.83,Mobile App,Central
ORD0002798,CUST000596,2026-05-25,85.96,Marketplace,East
ORD0015241,CUST003283,2025-10-07,17.88,Mobile App,North
ORD0003482,CUST000744,,33.43,Mobile App,North
ORD0015476,CUST003326,2025-10-24,54.61,Store,East
ORD0001428,CUST000290,2025-01-08,48.29,Web,East
ORD0006628,CUST001415,2025-05-21,39.42,Web,East
ORD0008139,CUST001758,2026-04-07,253.09,Marketplace,South
ORD0013699,CUST002973,2026-06-21,59.69,Marketplace,West
ORD0016584,CUST003596,2025-07-15,572.99,Mobile App,Central
ORD0005718,CUST001230,2026-04-17,204.72,Mobile App,South
ORD0014500,CUST003154,2025-08-31,214.46,Mobile App,Central
ORD0010991,CUST002369,2026-03-17,70.32,Marketplace,South
ORD0004922,CUST001052,2025-03-10,107.83,Marketplace,East
ORD0003473,CUST000742,2025-05-04,134.74,Mobile App,South
ORD0015784,CUST003401,2025-06-04,121.3,Mobile App,South
ORD0014675,CUST003182,2026-04-20,22.97,Mobile App,East
ORD0010676,CUST002308,2025-08-15,14.29,Mobile App,South
ORD0008035,CUST001729,2024-12-22,179.97,Store,Central
ORD0017548,CUST003806,2025-12-03,-85.62,Mobile App,North
ORD0008926,CUST001937,2026-02-27,18.8,Store,East
ORD0005001,CUST001076,2026-01-03,45.11,Marketplace,Central
ORD0011613,CUST002513,2026-02-11,93.87,Web,Central
ORD0003342,CUST000722,2025-12-11,17.21,Mobile App,South
ORD0000380,CUST000083,2024-12-08,21.67,Marketplace,East
ORD0014832,CUST003208,2024-11-12,16.27,Marketplace,Central
ORD0004878,CUST001045,2026-07-16,205.4,Web,Central
ORD0008777,CUST001904,2026-04-05,125.27,Mobile App,West
ORD0014499,CUST003154,2025-10-29,21.43,Mobile App,Central
ORD0000323,CUST000069,2025-02-20,101.98,Web,Central
ORD0009602,CUST002077,2025-03-19,389.87,Mobile App,East
ORD0010878,CUST002346,2026-05-10,36.57,Mobile App,Central
ORD0006076,CUST001304,2026-07-23,42.43,Store,Central
ORD0003987,CUST000845,2025-08-28,95.47,Marketplace,East
ORD0003951,CUST000838,2025-04-12,672.49,Marketplace,North
ORD0010899,CUST002350,2026-03-24,132.12,Mobile App,North
ORD0016932,CUST003668,2025-11-27,140.36,Store,West
ORD0005801,CUST001244,2025-07-30,139.0,Store,Central
ORD0012190,CUST002640,2024-11-03,57.25,Web,South
ORD0013858,CUST003009,2024-10-18,88.04,Marketplace,South
ORD0015630,CUST003369,2026-01-12,55.18,Marketplace,Central
ORD0013815,CUST003000,2025-01-11,93.61,Mobile App,South
ORD0004270,CUST000905,2026-04-13,866.09,Web,West
ORD0005722,CUST001230,2025-09-01,360.32,Store,South
ORD0016935,CUST003668,2025-10-01,138.63,Mobile App,West
ORD0013442,CUST002919,2025-07-10,345.93,Store,North
ORD0014852,CUST003211,2026-07-29,41.6,Mobile App,East
ORD0006408,CUST001376,2025-07-14,78.78,Mobile App,East
ORD0001494,CUST000306,2025-05-05,23.45,Store,East
ORD0003523,CUST000754,2026-05-12,27.37,Store,West
ORD0011104,CUST002388,2025-11-05,111.41,Web,West
ORD0013205,CUST002875,2025-02-21,62.88,Web,East
ORD0016558,CUST003594,2026-01-11,21.33,Marketplace,East
ORD0009836,CUST002122,2025-06-25,187.2,Web,North
ORD0004623,CUST000980,2025-10-07,192.77,Mobile App,East
ORD0012303,CUST002677,2026-07-31,24.23,Marketplace,South
ORD0017901,CUST003888,2024-12-20,,Web,Central
ORD0005362,CUST001156,2026-08-25,64.1,Marketplace,North
ORD0011735,CUST002539,2025-07-08,139.99,Store,North
ORD0001945,CUST000413,2025-12-25,58.74,Marketplace,South
ORD0009913,CUST002134,2024-12-09,80.51,Mobile App,West
ORD0011435,CUST002476,2025-08-12,395.38,Mobile App,North
ORD0014881,CUST003218,2026-03-11,336.95,Web,East
ORD0002857,CUST000610,2026-01-14,137.21,Marketplace,North
ORD0006085,CUST001309,2026-07-12,79.82,Mobile App,West
ORD0002959,CUST000632,2024-10-31,37.51,Marketplace,West
ORD0008394,CUST001814,,-127.11,Mobile App,Central
ORD0003106,CUST000664,2025-01-31,-42.22,Web,Central
ORD0007114,CUST001519,2026-06-26,50.71,Web,Central
ORD0010329,CUST002225,2025-04-21,28.85,Web,West
ORD0015087,CUST003258,2026-05-17,25.83,Web,North
ORD0002936,CUST000625,2025-06-09,978.78,Store,South
ORD0014148,CUST003086,2026-03-10,68.61,Marketplace,East
ORD0006558,CUST001402,2025-05-03,25.08,Mobile App,Central
ORD0009381,CUST002034,2025-06-07,19.58,Mobile App,East
ORD0008145,CUST001758,2025-04-26,489.47,Marketplace,South
ORD0017222,CUST003736,2025-09-21,1027.38,Store,West
ORD0008442,CUST001831,2025-11-05,96.98,Store,North
ORD0008514,CUST001841,2024-11-25,133.89,Mobile App,Central
ORD0010598,CUST002289,2025-02-26,106.15,Web,South
ORD0004247,CUST000902,2026-06-02,28.49,Mobile App,Central
ORD0000036,CUST000007,2024-09-18,106.13,Web,East
ORD0017297,CUST003755,2026-01-26,19.12,Store,East
ORD0007489,CUST001605,2025-10-28,33.02,Marketplace,East
ORD0007287,CUST001555,2026-02-20,150.92,Store,East
ORD0005599,CUST001197,2026-05-05,89.47,Marketplace,Central
ORD0008095,CUST001744,2025-11-04,746.22,Store,South
ORD0013669,CUST002963,2024-10-14,36.35,Web,North
ORD0009526,CUST002060,2025-10-15,151.95,Store,North
ORD0014926,CUST003228,2025-07-28,33.42,Marketplace,West
ORD0018230,CUST003968,2026-02-17,43.8,Web,South
ORD0008632,CUST001873,2026-07-24,632.39,Store,West
ORD0011205,CUST002412,2026-04-10,253.96,Marketplace,North
ORD0014164,CUST003090,2025-04-13,35.03,Store,East
ORD0011179,CUST002401,2025-01-17,13.01,Marketplace,Central
ORD0016574,CUST003595,2024-10-22,194.63,Mobile App,West
ORD0012644,CUST002755,2025-05-16,59.11,Marketplace,West
ORD0011905,CUST002579,2025-10-22,34.16,Mobile App,East
ORD0000274,CUST000059,2026-05-14,50.05,Store,West
ORD0002572,CUST000545,2025-08-19,28.12,Mobile App,North
ORD0001713,CUST000363,2025-11-08,146.3,Marketplace,West
ORD0005964,CUST001275,2024-12-26,47.32,Store,North
ORD0008744,CUST001899,2024-12-29,168.94,Store,West
ORD0003845,CUST000811,2025-02-17,274.04,Web,Central
ORD0012882,CUST002807,2025-10-29,47.91,Web,West
ORD0012164,CUST002636,2025-10-15,50.03,Store,Central
ORD0017216,CUST003735,2024-10-20,55.11,Store,East
ORD0013739,CUST002985,2026-05-18,40.45,Marketplace,Central
ORD0014325,CUST003121,2025-01-10,82.4,Mobile App,South
ORD0008595,CUST001862,2026-07-20,351.14,Web,West
ORD0008674,CUST001887,2026-07-24,125.03,Mobile App,West
ORD0010449,CUST002249,2025-10-13,79.07,Web,West
ORD0013281,CUST002890,2026-04-14,28.07,Mobile App,Central
ORD0018439,CUST003997,2024-08-31,42.06,Store,North
ORD0013992,CUST003042,2025-03-20,139.77,Mobile App,East
ORD0000352,CUST000075,2025-03-05,64.13,Web,Central
ORD0004446,CUST000941,2026-04-25,24.84,Store,North
ORD0006718,CUST001434,2024-10-26,62.74,Mobile App,South
ORD0015112,CUST003261,2026-02-06,54.62,Mobile App,South
ORD0006468,CUST001386,2025-05-20,87.21,Web,West
ORD0012216,CUST002652,2025-10-03,242.28,Store,North
ORD0001028,CUST000213,2025-06-28,95.56,Marketplace,Central
ORD0013154,CUST002866,2024-11-16,110.22,Web,West
ORD0007898,CUST001702,2025-07-25,602.25,Web,South
ORD0017807,CUST003874,2025-06-11,119.07,Web,South
ORD0016681,CUST003616,2025-02-05,28.6,Store,Central
ORD0009896,CUST002131,2026-05-29,73.68,Web,South
ORD0008409,CUST001822,2026-06-13,53.82,Web,North
ORD0014889,CUST003218,2024-12-09,97.26,Marketplace,East
ORD0013316,CUST002895,2025-06-26,945.59,Web,East
ORD0017736,CUST003861,2026-05-02,45.03,Mobile App,North
ORD0005231,CUST001126,2024-10-08,26.97,Store,South
ORD0011307,CUST002436,2025-09-25,638.08,Web,North
ORD0013799,CUST002999,2025-11-02,590.75,Mobile App,East
ORD0007718,CUST001654,2025-08-20,151.91,Marketplace,North
ORD0007649,CUST001638,2025-09-29,16.13,Web,East
ORD0014101,CUST003071,2024-10-07,115.45,Mobile App,South
ORD0012063,CUST002606,2026-04-10,277.06,Marketplace,West
ORD0003170,CUST000677,2024-09-17,62.49,Mobile App,West
ORD0015145,CUST003265,2025-05-19,75.36,Mobile App,Central
ORD0012312,CUST002681,2025-01-23,12.4,Marketplace,Central
ORD0008966,CUST001945,2024-11-19,91.05,Mobile App,North
ORD0011834,CUST002562,2026-04-27,49.73,Web,Central
ORD0004340,CUST000919,2025-12-31,31.75,Marketplace,West
ORD0005283,CUST001139,2025-12-04,231.83,Web,Central
ORD0014918,CUST003226,2025-07-19,55.6,Web,South
ORD0003911,CUST000826,2025-06-03,227.33,Mobile App,West
ORD0012470,CUST002719,2025-10-10,112.4,Web,South
ORD0005997,CUST001281,2026-04-23,145.73,Mobile App,East
ORD0005577,CUST001194,2026-05-12,1333.87,Mobile App,East
ORD0016192,CUST003499,2026-01-23,25.71,Mobile App,North
ORD0000291,CUST000060,2025-09-20,111.09,Web,Central
ORD0012520,CUST002730,2025-01-16,29.84,Mobile App,Central
ORD0011675,CUST002524,2025-07-27,155.08,Mobile App,East
ORD0000468,CUST000098,2025-06-24,104.45,Marketplace,South
ORD0001711,CUST000363,2025-11-24,107.03,Mobile App,West
ORD0013328,CUST002896,2025-01-14,54.78,Mobile App,South
ORD0011038,CUST002379,2025-10-20,110.53,Mobile App,South
ORD0000737,CUST000153,2026-05-15,98.73,Mobile App,East
ORD0014250,CUST003102,2025-01-14,127.72,Mobile App,South
ORD0008046,CUST001732,2025-09-28,168.3,Store,North
ORD0015267,CUST003287,2025-01-23,89.45,Web,North
ORD0006077,CUST001304,2026-07-16,35.49,Marketplace,Central
ORD0016241,CUST003511,2024-09-16,1834.87,Web,South
ORD0004111,CUST000873,2026-04-18,130.49,Store,Central
ORD0004510,CUST000959,2026-02-11,23.57,Store,East
ORD0000971,CUST000204,2025-10-03,52.85,Web,West
ORD0005926,CUST001268,2024-11-23,1068.96,Web,South
ORD0007440,CUST001592,2024-09-30,138.13,Store,North
ORD0012239,CUST002659,2026-02-25,39.67,Marketplace,North
ORD0001706,CUST000362,2025-07-02,64.21,Marketplace,West
ORD0001457,CUST000296,2025-01-04,38.54,Store,West
ORD0005032,CUST001085,2025-07-21,1537.3,Marketplace,East
ORD0016974,CUST003680,2025-12-10,188.37,Mobile App,North
ORD0002502,CUST000535,2025-09-16,404.75,Marketplace,East
ORD0003965,CUST000841,2026-02-06,138.47,Store,South
ORD0006747,CUST001440,2025-12-15,1199.46,Store,North
ORD0013168,CUST002870,2026-01-11,77.37,Marketplace,West
ORD0003001,CUST000636,2024-11-30,98.99,Web,West
ORD0016862,CUST003655,2026-01-14,99.16,Web,West
ORD0005351,CUST001154,2026-02-01,67.63,Mobile App,Central
ORD0006707,CUST001434,2026-06-02,,Marketplace,South
ORD0004074,CUST000866,2025-08-15,57.43,Web,Central
ORD0006175,CUST001326,2024-12-07,5.52,Web,East
ORD0009229,CUST002005,2025-11-02,31.44,Web,South
ORD0010779,CUST002326,2026-05-09,654.52,Web,North
ORD0006053,,2025-01-25,94.79,Store,West
ORD0003795,CUST000805,2026-02-10,17.79,Web,East
ORD0000981,CUST000205,2026-05-22,178.91,Store,East
ORD0007268,CUST001551,2026-07-05,86.79,Marketplace,West
ORD0005441,CUST001165,2025-04-26,53.57,Marketplace,Central
ORD0010348,CUST002229,2026-05-08,93.92,Store,North
ORD0003499,CUST000747,2025-08-11,144.72,Store,North
ORD0001513,CUST000310,2024-11-21,55.34,Mobile App,East
